station_file,source,station_name,district,lat,lon,monthly_points,mean_level,trend_slope_m_per_year,trend_pval,mk_pval,anomaly_months
Anantapur_Agali_Agali_Cgwb_Manual_Atul.xlsx,Manual,,ANANTAPUR,20.5417,72.9667,224,5.111044792986628,0.23078139801247646,0.13153853220094,0.06819998849693798,0
Anantapur_Agali_Agali_Cgwb_Manual_A_roppam-pz.xlsx,Manual,,ANANTAPUR,14.0267,77.2736,70,10.443529408644228,-7.102058841463396,0.1335906449215528,0.07651365424139889,0
Anantapur_Agali_Agali_Cgwb_Manual_Babhuleshwar.xlsx,Manual,,ANANTAPUR,19.6,74.5083,309,4.938426991527,0.15859856340079068,0.1675857963124295,0.28771273464115055,5
Anantapur_Agali_Agali_Cgwb_Manual_Babulkhed.xlsx,Manual,,ANANTAPUR,20.6667,76.7667,313,19.865777863396538,0.18453238143760758,0.06952427330455672,0.001922998614982463,4
Anantapur_Agali_Agali_Cgwb_Manual_Badli.xlsx,Manual,,ANANTAPUR,28.5917,76.8167,317,11.698030262282401,0.3316088181648855,0.10586561979689227,0.0003652974286019184,6
Anantapur_Agali_Agali_Cgwb_Manual_Bahadurgarh.xlsx,Manual,,ANANTAPUR,28.6917,76.9333,317,7.101153862782014,-0.3450850432700956,0.13455025238281232,0.002808761591049924,4
Anantapur_Agali_Agali_Cgwb_Manual_Balaji.xlsx,Manual,,ANANTAPUR,26.2961,78.98,323,14.027021278726293,1.9688114669433818,5.4690724985877516e-24,1.9984014443252818e-15,0
Anantapur_Agali_Agali_Cgwb_Manual_Bambori.xlsx,Manual,,ANANTAPUR,19.2889,74.7375,313,6.287407401535246,-0.21243359872157658,0.11935988619287091,0.033599147474177915,5
Anantapur_Agali_Agali_Cgwb_Manual_Bangaru_chennapalli-ew.xlsx,Manual,,ANANTAPUR,14.2256,77.685,13,1.4699999789396923,16.67999929189682,0.007932352396138346,0.2962698714842864,0
Anantapur_Agali_Agali_Cgwb_Manual_Bangaru_chennapalli-nqm.xlsx,Manual,,ANANTAPUR,14.2256,77.685,1,-0.07000000029802322,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Baradgaon_sudrik.xlsx,Manual,,ANANTAPUR,18.4583,74.8233,81,5.6352631578947365,-2.925263157894737,0.0624075873263827,0.08024287819033638,1
Anantapur_Agali_Agali_Cgwb_Manual_Barota.xlsx,Manual,,ANANTAPUR,32.0583,75.7208,237,4.898970565375159,-0.07160285799067484,0.5696095737428981,0.6337850628930641,5
Anantapur_Agali_Agali_Cgwb_Manual_Barshi_takli.xlsx,Manual,,ANANTAPUR,20.5833,77.0667,313,13.813437516490618,0.06606104873278439,0.7909807296124642,0.8295834326185276,2
Anantapur_Agali_Agali_Cgwb_Manual_Barshi_takli_pz.xlsx,Manual,,ANANTAPUR,20.5761,77.0703,66,8.10714280037653,-1.4290907797875343,0.37890978504367956,0.39782402076978274,1
